年底別,家戶電腦擁有率[%],家戶上網率[%],家戶寬頻上網率[%],家戶上網人口率[%],個人平板電腦擁有率[%],個人智慧型手機擁有率[%],個人電腦使用率[%],個人網路使用率[%],65歲以上個人網路使用率[%],個人行動上網率[%],個人每日上網時間[分],主要個人網際網路使用類型/即時通訊[%],主要個人網際網路使用類型/網路影音娛樂[%],主要個人網際網路使用類型/線上閱讀[%],主要個人網際網路使用類型/雲端空間[%],主要個人網際網路使用類型/網路銀行[%]
93年,89.3,81.6,79.6,71,-,-,78.1,73.4,-,-,180, -, -, -, -, -
94年,88.4,81.9,73.6,65.2,-,-,76.4,72.2,-,-,148, -, -, -, -, -
95年,87.7,83.1,87.4,68.4,-,-,78.2,72.8,-,15.5,151, -, -, -, -, -
96年,87.8,81.9,88.5,69.3,-,-,75.7,71.6,-,17.6,185, -, -, -, -, -
97年,90.3,86,84.2,72,-,-,79.9,75.5,-,51,181, -, -, -, -, -
98年,87,82.1,79.6,68.2,-,-,76.1,73,-,51.8,198, -, -, -, -, -
99年,91,86.1,80.7,73.5,-,-,81.9,77.6,-,61.2,205,-,-,-,-,-
100年,92.3,89.1,83.9,75.8,25.5,44.3,84.4,80.1,-,76.3, -, -, -, -, -, -
101年,89.1,85.2,76.7,70.9,25.1,54.6,81.9,78.5,-,77.4,213, -, -, -, -, -
102年,89.8,87.4,74.1,77.2,41.8,73.8,84.5,80.1,-,81.2, -, -, -, -, -, -
103年,91.3,91.4,62.8,-,53.1,86.3,87.2,85,-,92.9, -, -, -, -, -, -
104年,87.7,86.4,80.1,-,60.7,91.9,83.5,82.6,-,92.1, -, -, -, -, -, -
105年,89.4,87.1,89,-,54.4,94.7,84.7,85.4,-,93.4, -, -, -, -, -, -
106年,-,90.7,74.6,-,48,98.3,-,87,-,98.7, -,-,-,-,-,-
107年,-,91.1,75.4,-,52.7,98.8,-,90.6,-,99.2, -, -, -, -, -, -
108年,-,93.8,74.8,94,57.2,98.4,-,90.5,-,98,-, -, -, -, -, -
109年,-,-,-,-,-,-,-,90,62.9,-,-,96.4,87.4,76.5,62.4,61.7
111年,-,-,-,-,-,-,-,93.3,74.4,-,-,97,89.5,72.2,61.5,62.3
