ID(序號),Name(機構名稱),Area(行政區),Address(地址),Latitude(緯度),Longitude(經度),Tel(電話)
1,臺北市松山老人服務暨日間照顧中心,松山區,臺北市松山區健康路317號1樓,25.0544773,121.5663145,(02)27685636
2,臺北市大同社區大學,大同區,臺北市大同區長安西路37-1號,25.0516304,121.5187341,(02)25556008
3,臺北市松山社區大學,松山區,臺北市松山區八德路四段101號,25.0494093,121.5611724,(02)27477690
4,臺北市中山老人住宅暨服務中心,中山區,臺北市中山區新生北路二段101巷2號1-6樓,25.0572655,121.5284276,(02)25420006
5,臺北市中山社區大學,中山區,臺北市中山區新生北路三段55號,25.0659203,121.5291773,(02)25973371
6,委託經營管理臺北市北投奇岩樂活大樓(北投老人服務中心),北投區,臺北市北投區奇岩里三合街一段119號,25.1263955,121.5037889,(02)28930572
7,臺北市大同老人服務暨日間照顧中心,大同區,臺北市大同區重慶里重慶北路三段347號3樓,25.0748652,121.5140597,(02)25929808
8,國立臺灣戲曲學院,內湖區,臺北市內湖區內湖路二段177號,25.0824703,121.5868403,(02)27962666
9,臺北市內湖社區大學,內湖區,臺北市內湖區文德路240號3樓,25.0787975,121.5887115,(02)87511587
10,臺北市士林老人服務暨日間照顧中心,士林區,臺北市士林區忠誠路二段53巷7號5樓及6樓,25.1114866,121.5323988,(02)28381571
11,臺北市士林社區大學,士林區,臺北市士林區承德路四段177號（百齡高中）,25.0869702,121.5230445,(02)28806580
12,臺北市文山社區大學,文山區,臺北市文山區景中街27號,24.993058,121.5429376,(02)29302627
13,臺北市萬華龍山老人服務暨日間照顧中心,萬華區,臺北市萬華區梧州街36號2樓、2樓之2、3樓、3樓之1,25.0373367,121.497512,(02)23361880
14,淡江大學進修推廣處,大安區,臺北市大安區金華街199巷5號,25.0311803,121.5284282,(02)23216320
15,臺北醫學大學進修推廣處,大安區,臺北市大安區基隆路二段172-1號13樓,25.0262182,121.5542602,(02)66382736
16,臺北市政府社會局委託經營管理臺北市萬華老人服務中心,萬華區,臺北市萬華區西寧南路4號A棟3樓,25.0479314,121.5072371,(02)23610666
17,臺北市政府社會局委託經營管理臺北市大安老人服務暨日間照顧中心(小規模多機能),大安區,臺北市大安區四維路76巷12號1-5樓,25.0341981,121.5473027,(02)27086255
18,臺北市信義老人服務暨日間照顧中心,信義區,臺北市信義區興雅里松隆路36號4、5樓,25.043361,121.5675942,(02)87870300
19,臺北市中正社區大學,中正區,臺北市中正區濟南路一段6號,25.0418667,121.5222277,(02)23278441
20,臺北市立大學,中正區,臺北市中正區愛國西路1號,25.0356043,121.5142953,(02)23113040
21,臺北市大安社區大學,大安區,臺北市大安區杭州南路二段1號(金甌女中),25.034768,121.5241819,(02)23915081
22,臺北市信義社區大學,信義區,臺北市信義區松仁路158巷1號,25.0286896,121.5675836,(02)87897316
23,臺北市萬華社區大學,萬華區,臺北市萬華區南寧路46號,25.0359735,121.5047147,(02)23064267
