ID(序號),ParkName(河濱公園名稱),Area(行政區),Longitude(經度),Latitude(緯度)
1,百齡左岸,士林區,121.5131049,25.08540269
2,百齡右岸,士林區,121.5154351,25.08496577
3,福安,士林區,121.4903666,25.09858322
4,富州,士林區,121.4770405,25.10470015
5,雙溪,士林區,121.527578,25.10051297
6,社子島環島(待命名),士林區,121.466076,25.109832
7,延平河濱,大同區,121.5041297,25.08620372
8,美堤,中山區,121.5616762,25.07473448
9,大佳,中山區,121.5355336,25.07502576
10,圓山,中山區,121.5333126,25.07772012
11,古亭,中正區,121.5248108,25.01542211
12,南湖右岸,內湖區,121.5965026,25.0602978
13,成美右岸,內湖區,121.5861439,25.05569189
14,彩虹,內湖區,121.5723444,25.06013395
15,道南,文山區,121.5724718,24.99091798
16,木柵,文山區,121.5448,24.98509233
17,景美,文山區,121.5364985,24.99108183
18,溪洲,文山區,121.5340954,25.00519082
19,關渡水岸公園,北投區,121.4627676,25.11744375
20,河雙21號,北投區,121.5145067,25.09927502
21,觀山,松山區,121.5693588,25.06180882
22,迎風,松山區,121.5563967,25.07360576
23,南湖左岸,南港區,121.601145,25.05856831
24,成美左岸,南港區,121.5782065,25.05208727
25,中正,萬華區,121.5141426,25.02288622
26,馬場町紀念公園,萬華區,121.5033287,25.01829852
27,華中,萬華區,121.4933159,25.01425698
28,雙園,萬華區,121.4871625,25.03322674
29,龍山,萬華區,121.5056225,25.05048522
30,華江雁鴨自然公園,萬華區,121.49522,25.03871
